token	frequency	label	llm_reason	example_sentence_used
daal	35	HINGLISH	The token 'daal' is used in all examples as a Romanized Hindi word meaning 'to put/pour' or referring to the lentil dish ('daal'), which is culturally and linguistically Hinglish in these contexts.	aanchalator toh phir theek hai, aise kisi Ladki ke T-shirt mein kuch bhi kaise daal sakta hai koi?
dost	35	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	jabatdast dost . . . . 1 page me rula diya yaar . . . . . kamaal hai . . . . superb nd hatss off to ur crearivity . . .
jaaye	35	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Tum chahte ho mujh par police case ho jaaye <\3 :'(
karega	35	HINGLISH	The token 'karega' is the future tense form of the Hindi verb 'karnā' (to do), commonly used in Romanized Hindi/Hinglish.	sonakshisinha bhai indiantweeter ab tu naye naye account bana ke sona ko pareshan karega !!!
padega	35	HINGLISH	The token 'padega' is a Romanized Hindi verb form (पड़ेगा/padega, meaning 'will have to') used in code-mixed text.	LoKarDi_RT uske liye toh bahot kuch karna padega ye pappiyon se kaam nahi chalega ForTheSakeOfHumanity
zara	35	HINGLISH	The word 'zara' is a Hindi word meaning 'a little', commonly used in Romanized Hindi/Hinglish.	MohitParmarr ye kaun se channel par aur kab aata hai? Batao, zara hum bhi toh dekhe!
acha	34	HINGLISH	The token 'acha' is a common Romanized Hindi word meaning good or okay, used consistently across the examples.	Misbah to Butler: Kuch acha sa khila do yaar, haar gaye! :( Shoaib Akhter: Tu Rehem Kha, Rehem. Usi ke layak hai AUSvPAK
batao	34	HINGLISH	The token 'batao' is the Hindi verb meaning 'tell' or 'explain', written in the Roman script (Hinglish).	bhai angreji batao na kuch.. kuch samaj ni aa raha
dilli	34	HINGLISH	The token 'dilli' is the Romanized Hindi name for the city of Delhi.	KajuBadamChor kya baat kaju, main aaj kal dilli mein hu. Kabhi aana ho toh bata
honge	34	HINGLISH	The word 'honge' is a Romanized Hindi form of 'הungē/honge' (will be), commonly used in code-mixed Hindi-English text.	MissKhushiSen mujhe laga sab bhool gaye honge SENTI
isiliye	34	HINGLISH	The token 'isiliye' is a Romanized Hindi word meaning 'therefore' or 'that's why', consistently used as such across all examples.	LOL, phenk deta to bechare ka phir kat jaata bill, isiliye lauta diya chup chaap. EkBhaiKeLiye
rhe	34	HINGLISH	The token 'rhe' is a Romanized Hindi auxiliary verb component (from 'rahe', meaning 'are/were') used in continuous tense across all provided code-mixed sentences.	Aaj kal Jitne Bhi teaser trailer Youtube pr Record tod rhe hai Sb Jio ki meharbaani hai
roz	34	HINGLISH	The word 'roz' is a Hindi word meaning 'daily' or 'every day', consistently used as such in Romanized Hindi/English code-mixed contexts.	FaaduTweets American English bro, har roz kisi na kisi ko bolna padta hai twinitisha
she	34	ENGLISH	The token 'she' is a standard English pronoun used across all the provided example sentences.	i love my girl evelyn at work she switched shifts with me saturday:)
upar	34	HINGLISH	The token 'upar' is a Hindi word meaning 'above' or 'on', commonly used in Romanized Hindi/Hinglish.	Apake upar bharosa hai.. ..bhai! Aap koi galat kam nahi kar sakte.. .. !
waah	34	HINGLISH	"Waah" is a common Hindi exclamation of praise or admiration used in Romanized Hindi/Hinglish text across all provided examples.	sunny_congress are waah !! ..... dharti maa ka yaad ... supperb tu sawa sher h
wapas	34	HINGLISH	The token 'wapas' is a Hindi word meaning 'back' or 'return', commonly used in Romanized Hindi/Hinglish.	Khawaja Mere Khawaja chal wapas chale jaa IndvsAus
bhagwan	33	HINGLISH	The token 'bhagwan' is a Hindi word meaning 'God' written in the Roman script across all examples.	hey bhagwan ...yeh movies bachcho ka satyanash kar rahi hain ..:-o :o
coolfunnytshirt	33	ENGLISH	The token is a Twitter handle/username comprised of standard English words (cool, funny, tshirt).	RT coolfunnytshirt : Maine daant tod dena hai Arnab ke agar aur kisi ka resignation maanga toh !!!
galti	33	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	"Arey galti ho gayi. Agli baar tere se puch kar karunga. Ab kya bhai se baat bhi nahi karega"
her	33	ENGLISH	The token 'her' is a standard English pronoun functioning identically across all provided contexts.	341 : Best part of the placement orientation was that hot Matki Chick . Really wanna hook up with her . Suggest a way .
jana	33	HINGLISH	The token 'jana' in these contexts is the Romanized Hindi verb for 'to go'.	arre papa ko office nhi jana kya ? ?
kaafi	33	HINGLISH	The token 'kaafi' is a Hindi word (meaning 'enough' or 'quite') written in Roman script.	Bas aise hi reviews ki zaroorat hai, kaafi protsahan milta hai in baaton se.
ladkiyon	33	HINGLISH	The word 'ladkiyon' is the plural oblique form of the Hindi word 'ladki' (girl) written in Roman script.	30 din se continuously swimming pool ja raha hoon. Aur in ladkiyon ne ek bhi din chhutti nahi ki. Kal se band karna padega.
nitishkanaklivikas	33	HINGLISH	no_context_default	
rahulgandhi	33	HINGLISH	no_context_default	
wahi	33	HINGLISH	The token 'wahi' is a Romanized Hindi word meaning 'the same' or 'right there', used consistently in the given code-mixed context.	aur free wifi bhi wahi hai. Lol
warna	33	HINGLISH	The word 'warna' is a common Hindi word meaning 'otherwise'.	gaali dena kam kar diya hai maine yahan, warna ek badi wali zaroor deta, mauka bhi hai aur dastoor bhi, chutiye bhare hai
andar	32	HINGLISH	The word 'andar' is a standard Hindi word meaning 'inside', used consistently across all code-mixed examples.	har cheez ka galat matlab nikal kar ye, galat shalat smmileys bhejti hai. Bahar se sanskaari andar se dhuandhari.
bolta	32	HINGLISH	The token 'bolta' is a conjugated form of the Hindi verb 'bolna' (to speak) used in Romanized Hindi/Hinglish.	BolshoyBooze Shakti bechara kabhi kuch bolta nahi hai, he is like a husband eve n before marriage.
bolte	32	HINGLISH	The word 'bolte' is the Hindi verb for 'speak' or 'say' written in the Roman script.	shubhansh1504 jab koi bahana nahi hota to bolte hai 'server down hai'
iska	32	HINGLISH	The token 'iska' is a Hindi pronoun meaning 'its' or 'his/her' written in the Roman script.	iska koi connect nahi tha iske saath, magar achha line hai. Main confused hu ke woh bhai desi hai ya videsi.
kahin	32	HINGLISH	The token 'kahin' is a Hindi word meaning 'somewhere' or 'anywhere', used consistently across the code-mixed examples.	kahin tu whi tom boy typ ladki to nhi jiske bare me kal ek ladke ne confession post kia tha ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? lol
karenge	32	HINGLISH	The token 'karenge' is a conjugated form of the Hindi verb 'karna' (to do) used in Romanized Hindi/Hinglish.	4pm baje karenge . direct baat mere saath . this is what bogg bosss siad rightly
kiye	32	HINGLISH	The word 'kiye' is a form of the Hindi verb 'kiya' (done/cleared), used here in Hinglish phrases like 'door kiye' and 'copy kiye'.	Barn_sparrow Aapko doubt hai.. Apna phone number dijiye.. Abhi doubt door kiye dete hai
leke	32	HINGLISH	The token 'leke' is a Hindi verb form (meaning 'taking' or 'bringing') written in the Roman alphabet.	Aj ya windies larkia leke jaegi ya boys .. :) WT20 WIvENG AusWvWIW WT20Final
our	32	ENGLISH	The word 'our' is a standard English possessive determiner used consistently across all provided examples.	that's complete crap . someUSER began and sadat were all about peace . bibi wants to use our military for free . someUSER &lt
padta	32	HINGLISH	The token 'padta' is a Romanized Hindi word derived from 'padna' (meaning 'to have to'), commonly used in code-mixed Hinglish sentences.	FaaduTweets American English bro, har roz kisi na kisi ko bolna padta hai twinitisha
sahab	32	HINGLISH	The word 'sahab' is a borrowing from Hindi/Urdu meaning 'sir' or 'gentleman', commonly used in Romanized Hindi/Hinglish contexts.	aaj Duggal sahab school boy hain …
zaroor	32	HINGLISH	The word 'zaroor' is a Romanized Hindi word meaning 'definitely' or 'surely'.	Jin logon ko FAN ke bina neend nahi aati woh movie zaroor dekhein, isse unhe neend aajayegi.
aapka	31	HINGLISH	The token 'aapka' is a Romanized Hindi word meaning 'your'.	SrBachchan sir aap badal gaye ho. Aajkal milte hi nahi ho. Kitna wait kiya aapka ghar ke bahar
beti	31	HINGLISH	The word 'beti' is the Romanized Hindi word for 'daughter', consistently used in that meaning across all examples.	Kanoon ne apna kaam kiya tabhi to teri terrorist beti ko maara. …
bhabhi	31	HINGLISH	The word 'bhabhi' is a Hindi term meaning brother's wife, used in Romanized Hindi/Hinglish context across all examples.	iamEvilPrince ShraddhaKapoor FitbitIN ayye Chupp tu, bhabhi hai teri
haal	31	HINGLISH	The token 'haal' is derived from the Hindi word 'haal' (meaning condition or news), commonly used in Romanized Hindi/Hinglish phrases like 'haal chaal'.	Ra_Bies Hello saadu saahab (senior bro in law), ki haal chaal?
kahi	31	HINGLISH	The token 'kahi' is a Romanized Hindi word meaning 'somewhere' or used as a conditional marker (from 'kahin').	kahi rajnikant to nhi tha . .
lene	31	HINGLISH	The word 'lene' is derived from the Hindi verb 'lena' (to take), used consistently in all examples as part of Romanized Hindi phrases.	guddu tri series aur test series mein , kya lene gya tha ??
mario	31	ENGLISH	The token refers to the globally recognized video game character/franchise 'Mario', which is a proper noun borrowed directly into the context.	mai to itne games me b bas ninja turtles , street fighter , car race and mario khel kar khush tha baki games par dhyan dene ka tym kiske pas tha :-d
mauka	31	HINGLISH	The word 'mauka' is a Hindi/Urdu word meaning 'opportunity', commonly used in Romanized Hindi/Hinglish.	Aa gaya mauka ... India won .. IndvsSA
pagal	31	HINGLISH	The token 'pagal' is a common Hindi word meaning 'mad' or 'crazy' written in Roman script.	MeetUunngLee pagal aurat hai
shakal	31	HINGLISH	The token 'shakal' translates to 'face' in Hindi and is consistently used as a Romanized Hindi word across all examples.	Tweepshikha toh mujhe laga tumhari bhi shakal hogi usmein kahin :-/
tumko	31	HINGLISH	The token 'tumko' is a Hindi pronoun meaning 'to you' written in Roman script (Hinglish).	you wish to become Adele? Yaar bahot rotdu hai yahan tumko bhi number lagana hai?
achcha	30	HINGLISH	The token 'achcha' is a Romanized Hindi word meaning good.	DrShobha Maam mausam achcha hai.. To socha ghoomne jaane se pehle pooch luBDUTT ChouhanShivraj
arvind	30	ENGLISH	The token 'arvind' refers to proper names (Arvind Kejriwal, Arvind) used across sentences, which are treated as English/neutral proper nouns.	aajtak dear arvind kejriwal aap begunaah hai . Yaa deshdrohi hai .... choose
bacha	30	HINGLISH	The token 'bacha' represents the Hindi words for either 'save/leftover' or 'child' written in Roman script.	Sabko bacha kaho,sirf mere ilawa ok
bhej	30	HINGLISH	The word 'bhej' is a Hindi verb meaning 'send', written in Roman script (Hinglish).	kamaalrkhan sir ye tweet unko bhej do. Itni Hi-Fi English padh ke wo waise hi suicide kar lega.
bhool	30	HINGLISH	The word 'bhool' is a Romanized Hindi word meaning 'forget', commonly used in Hinglish code-mixed text.	MissKhushiSen mujhe laga sab bhool gaye honge SENTI
dimaag	30	HINGLISH	The token 'dimaag' is a Hindi word (meaning brain/mind) written in the Roman script, commonly used in Hinglish text.	saynotocorruption timetochange say no to dummies jinke pass khud ka dimaag nahi dusro k kahne par chalte hai MakeInIndia
isko	30	HINGLISH	The word 'isko' is a Romanized Hindi demonstrative pronoun meaning 'this one' or 'him/her'.	SharmaJaungi SlapSkirt isko khana nahi hota hai.
jate	30	HINGLISH	The token 'jate' is a form of the Hindi verb 'jana' (to go), used here in Hinglish phrases like 'laps ho jate', 'chale jate hai', and 'safe side ho jate ho'.	@ Deggii Raja-Rahul Gandhi ki Pl accumulate ho gaye the . Agr wo nahi lete tho laps ho jate WhereIsRahulGandhi WhereIsRahul
mana	30	HINGLISH	The word 'mana' in all provided contexts means 'refused' or 'denied' in Hindi, functioning as part of Hinglish verb phrases like 'mana kardiya' or 'mana karti thi'.	ab voh bola jisne kisi bhi party ko support karne se mana kardiya tha . . a flop show annaji
officeofrg	30	HINGLISH	no_context_default	
poojamissra	30	HINGLISH	no_context_default	
rehta	30	HINGLISH	The token 'rehta' is a form of the Hindi verb 'rehna' (to stay/live), commonly used in Romanized Hindi/Hinglish code-mixing.	ab to tu aajkal pata nahi kaha gayab rehta hai A_PerfectBlend
roflaala	30	HINGLISH	no_context_default	
bandh	29	HINGLISH	The word 'bandh' means closed or shut in Hindi and is commonly used in Romanized Hindi/Hinglish.	bandh kab huwa tha?
behen	29	HINGLISH	The word 'behen' means sister in Hindi and is commonly used in Romanized Hindi/Hinglish code-mixed text.	Dishasatra LOL PJ_CRACKER ROFLaaLa Lala mujhe bhi apni behen bana le please
bolne	29	HINGLISH	The token 'bolne' is the inflected form of the Hindi verb 'bolna' (to speak), commonly used in Romanized Hindi/Hinglish.	riksec08 CrackerNACrackKAR bolne wale ki baat mat sun
chalta	29	HINGLISH	The token 'chalta' is a standard Romanized Hindi word meaning 'runs' or 'works' in the given contexts.	manish239994 AC bahut chalta hai
chalu	29	HINGLISH	The token 'chalu' means 'started' or 'active' in Hindi/Hinglish across all the provided examples.	buklolchi bhak_sala chalu hai
kitanurag	29	HINGLISH	no_context_default	
kitni	29	HINGLISH	The word 'kitni' is a Romanized Hindi word meaning 'how many' or 'how much'.	huh_watnow kitni baar bhi bhejo kam hai twinitisha
milta	29	HINGLISH	The word 'milta' is a Hindi verb meaning 'gets' or 'available', written in Roman script (Hinglish).	Bas aise hi reviews ki zaroorat hai, kaafi protsahan milta hai in baaton se.
paani	29	HINGLISH	The word 'paani' means water in Hindi and is written in Romanized form, consistently used in Hinglish contexts across all examples.	Kahaanify hamari kashti wahan doobi jahan paani kam tha
pahle	29	HINGLISH	The word 'pahle' is a Romanized Hindi word meaning 'before' or 'earlier'.	abhi trailor kuchh mahine pahle dekha tha ? . . . .
taraf	29	HINGLISH	The word 'taraf' is a Hindi word meaning 'direction' or 'side', written in Roman script (Hinglish).	"Bhaiya Goal ki taraf le lo" Autoguy: "Us taraf nahi jayega"
tweeterrant	29	HINGLISH	no_context_default	
unhe	29	HINGLISH	The token 'unhe' is a Romanized Hindi pronoun meaning 'them' or 'to them', used across all provided code-mixed sentences.	Jin logon ko FAN ke bina neend nahi aati woh movie zaroor dekhein, isse unhe neend aajayegi.
insaan	28	HINGLISH	The token 'insaan' (human) is a standard Romanized Hindi word used across all provided code-mixed examples.	Abe Congressiyon, Nigerians bhi insaan hote hain, bandar nahin. Kyon itna bura maan gaye.
ise	28	HINGLISH	The token 'ise' is a Hindi pronoun meaning 'this' or 'to this', used consistently in the Romanized Hindi/English code-mixed context.	mishrashiv Mishra ji ise haathi bol kar haathi jaise achche jeevo ko gaaliya na de nikhil__13 Ra_Bies
kapoor	28	HINGLISH	The token 'kapoor' is used as a proper surname in Romanized Hindi/English code-mixed context (referring to Kapoor & Sons, Shahid Kapoor, and Sonam Kapoor).	RT mukeshk23791931 : S1dharthM kapoor and sons achachi film hai .. ek baar or dekhunga
karwa	28	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	I'm also against arrest of Tanmay Bhat, kaan pakad ke utthak-baithak karwa kar chhod dena chahiye.
ladke	28	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	yaar tum ladke inne senti krne wale kaam kyu krte ho ? ? ? :'(
lekar	28	HINGLISH	The word 'lekar' is a Hindi participle meaning 'taking', written in Roman script (Hinglish).	Itne to bhai wallet me chillar lekar chalte hai …
leta	28	HINGLISH	The token 'leta' is a form of the Hindi auxiliary verb 'lena' (to take/do), used in code-mixed contexts like 'rakh leta hn' or 'laga leta hai'.	mariam_tahir5 light nahi he ab bus aona name change kr k " ROSHAN " rakh leta hn .
padh	28	HINGLISH	The token 'padh' is a Romanized Hindi word meaning 'read'.	loveOKplease kuch nahi, ek tweet padh ke gussa aa gaya :/
pura	28	HINGLISH	The word 'pura' means 'whole' or 'complete' in Hindi/Hinglish across all provided examples.	he's my dad but . . hum unhe pura match kabhi nhi dekhne dete . . it's a pretty big feat . . lol
thodi	28	HINGLISH	The token 'thodi' is a Romanized Hindi word meaning 'little' or 'a bit', commonly used in code-mixed Hinglish text.	"Na bhai na, aise thodi hota hai, ye aate time bhi window seat pe baitha tha" AUSvPAK
yehi	28	HINGLISH	The token 'yehi' is a Romanized Hindi word meaning 'this only' or 'this is', commonly used in code-mixed Hinglish text.	slimswamy yehi to hum semjhane ki koshish kar rahe hain. Log to sab kuch ko issi mein tol dete hain. Context: …
badal	27	HINGLISH	The token 'badal' is a Hindi word meaning 'change' or 'changed', used consistently in Romanized Hindi contexts across the examples.	SrBachchan sir aap badal gaye ho. Aajkal milte hi nahi ho. Kitna wait kiya aapka ghar ke bahar
biwi	27	HINGLISH	The word 'biwi' is a Hindi word meaning wife, written in Roman script.	Chacha jaan ye biwi hai keema paav nahi.
chai	27	HINGLISH	The word 'chai' refers to tea, which is a standard Hindi loanword commonly used in Romanized Hindi/Hinglish.	luncher paaji pehle chai k saath biscuit kha rahe the . .
hamari	27	HINGLISH	The word 'hamari' is the Romanized Hindi/Urdu possessive pronoun meaning 'our'.	Kahaanify hamari kashti wahan doobi jahan paani kam tha
iski	27	HINGLISH	The word 'iski' is a Romanized Hindi pronoun meaning 'its' or 'his/her' in the given context.	coolfunnytshirt iski jaanch honi chahiye OpIndia_com bhak_sala
mahine	27	HINGLISH	The token 'mahine' is the Romanized Hindi word for 'months'.	guddu ek mahine baad aa rha hai . . world cup ke liye kuch nahi kiya . . . . . . nalayak . . .
nazar	27	HINGLISH	The word 'nazar' is a Hindi word meaning sight or vision, commonly used in Romanized Hindi/Hinglish.	cha cha ? ab seedha Trump nazar aane laga ? Kasab se Trump tak ?
om	27	HINGLISH	The token 'om' is part of the Hindu devotional phrase 'om sai ram' and spiritual references in the context of Romanized Hindi/English code-mixed text.	Mujhe maaf karna om sai ram
puri	27	PENDING_MANUAL_REVIEW	In sentence 1, 'puri' refers to the Indian fried bread (Hindi), while in sentences 2 and 3, it means 'whole' or 'completely' (Hindi/Hinglish), but structurally it can occasionally overlap with English phonetics, though here it is consistently Hindi/Hinglish with dual meanings depending on context.	1 sookha puri aur dena bhaiya
wohi	27	HINGLISH	The token 'wohi' (also spelled 'vohi') is a Romanized Hindi word meaning 'that very' or 'the same'.	Prankoholic tum na baat hi na karo mujhse, wohi achha hai.
achhe	26	HINGLISH	The token 'achhe' is the Romanized Hindi word for 'good' used in code-mixed social media text.	Champ_Nikk bilkul sahi..Bihar may achhe din toh aaney he they GoodByeNitishKumar
against	26	ENGLISH	The token 'against' is a standard English preposition used consistently across all examples to denote opposition.	procrastinating .i need to get ready for the 6th district chicago police rally against violence .chi-town cheer will be performing .king dr .
baare	26	HINGLISH	The word 'baare' is from Hindi (meaning 'about', used in phrases like 'ke baare mein').	mere baare mein toh tumne ye kabhi nahi bola... bhaiyyajispeaks
baatein	26	HINGLISH	The word 'baatein' is the Romanized Hindi word for 'talks' or 'conversations'.	huh_watnow chee chee gandi baatein
bajrangi	26	HINGLISH	The token 'bajrangi' refers to the Hindi proper noun/character name from the movie 'Bajrangi Bhaijaan' and is written in Romanized Hindi.	Salman bhai jai ho. Blessings to bajrangi bhaijann. ....
chup	26	HINGLISH	The token 'chup' is a common Hindi word meaning 'quiet' or 'silence', used consistently across the examples in Romanized Hindi contexts.	LOL, phenk deta to bechare ka phir kat jaata bill, isiliye lauta diya chup chaap. EkBhaiKeLiye
inhe	26	HINGLISH	The token 'inhe' (or 'inhain') is a Hindi pronoun meaning 'to them' or 'these people', used consistently in Romanized Hindi contexts.	Election commission ko bhi BJP4India par najar rakhni chahiye. Gujarat Haath se jaata Dekh ab GST yaad aa gaya inhe
jaisa	26	HINGLISH	The token 'jaisa' is a Hindi word meaning 'like' or 'as', commonly used in Romanized Hindi/Hinglish.	jo jaisa dusro k sath krta h uske sath aisa hi hota h ..he cheated dada ...
likh	26	HINGLISH	The token 'likh' is the Hindi root for writing, used across the examples in Romanized Hindi contexts.	RT 2806anu : puspraj Challenge : Isse bura likh ke bataao
poora	26	HINGLISH	The token 'poora' is the Romanized Hindi word for 'complete' or 'whole'.	Ab ArvindKejriwal apna Janlokpal ka vaada kab poora kar rahe hai ??
rakh	26	HINGLISH	The word 'rakh' is a standard Romanized Hindi verb meaning 'keep' or 'put'.	Atheist_Krishna ye saare paise rakh le aur meri suhaagraat pe national anthem mat bajana
sare	26	HINGLISH	The word 'sare' in these contexts is a Romanized Hindi word meaning 'all'.	kya baat hai !!guddu phir se dher sare gags banane laga ....:)
than	26	ENGLISH	The word 'than' is a standard English comparative preposition used in all the provided examples.	Ranveer Singh is more irritating than Shahrukh Khan.
usko	26	HINGLISH	The word 'usko' means 'to him/her' in Romanized Hindi and is consistently used in Hinglish context across all examples.	Tere saath kisne kiye yeh? Bata. Tag kar tu usko
yar	26	HINGLISH	The token 'yar' is a widely used Romanized Hindi (Urdu/Hinglish) slang term for 'friend'.	chalk lane me kitni mehnat lgti h guddu se sikho yar . . . . . . . bda hard working boy h
guessthesong	25	HINGLISH	no_context_default	
gye	25	HINGLISH	The token 'gye' is the Romanized Hindi word for 'went' or 'become', used consistently in Hinglish contexts.	guddu k papa toh emotional ho gye . . . .
jahan	25	HINGLISH	The token 'jahan' is a Hindi word meaning 'where', commonly used in Romanized Hindi/Hinglish code-mixed text.	Kahaanify hamari kashti wahan doobi jahan paani kam tha
kasam	25	HINGLISH	The word 'kasam' is a Hindi word meaning oath, commonly used in Romanized Hindi/Hinglish expressions like 'kasam se'.	garbage . . yaar tussi har bar dil jeet lete ho kasam se . . kya mast reality har bar saamne late ho . . . apni saari harkate yaad aa jati hai :p :d
khane	25	HINGLISH	The word 'khane' is a Romanized Hindi word meaning 'food' or 'to eat', used consistently in all provided code-mixed Hinglish sentences.	t . v . off guddu: mummy . . . . . khane me kya hai .
krte	25	HINGLISH	The token 'krte' is a Romanized Hindi verb form derived from 'karna' (to do).	yaar tum ladke inne senti krne wale kaam kyu krte ho ? ? ? :'(
kumar	25	ENGLISH	The token 'kumar' functions primarily as a proper noun (surname/given name) across all contexts, which remains unchanged in English text.	toastingtoaster M blocked by barkha, dadlani, rajdeep, kejriwal, kumar vishwas, ankit lal, ankit jain, kavita krishnan
maaf	25	HINGLISH	The token 'maaf' means 'forgive' or 'excuse' in Hindi and is commonly used in Romanized Hindi/Hinglish contexts.	ashutosh83B pyaar bech ke faayda kamate ho.. Dilli ki janta kabhi maaf nahi karegi
mili	25	HINGLISH	The word 'mili' is a form of the Hindi verb 'milna' (to get/find), meaning 'got' or 'found' in all provided contexts.	sahilmjain ek nahi mili ab tak </3
neend	25	HINGLISH	The token 'neend' translates to sleep in Hindi and is written in Romanized form, commonly used in Hinglish contexts.	Jin logon ko FAN ke bina neend nahi aati woh movie zaroor dekhein, isse unhe neend aajayegi.
reh	25	HINGLISH	The token 'reh' is a shortened colloquial form of the Hindi verb 'raha' (remaining/staying), used across the examples in Hinglish contexts.	sir hamare ghar me white wash ho rhi thi . isliye copy ghar pe reh gayi :-d
rohit	25	PENDING_MANUAL_REVIEW	The token 'rohit' is a proper noun (a person's name) used in both English and Hinglish contexts without linguistic markers indicating a specific language.	lmRo45 6jhmk all the best rohit bhai ( y ) 50 kya .. 100 banana
should	25	ENGLISH	The token 'should' is a standard English modal verb used across all the provided code-mixed examples.	Dhoni should remind Faf abt IPL !! Agar khelna hai toh out ho jaa !! Hussey z back in d team !!! justsaying IndiaVsSouthAfrica
socha	25	HINGLISH	The token 'socha' is derived from the Hindi verb 'sochna' (to think) and is commonly used in Romanized Hindi/Hinglish.	narendramodi kuch pata hai students ke mehenge din agaye hai?? gst laga diya hai bas kuch socha tha pehle?
wahan	25	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Kahaanify hamari kashti wahan doobi jahan paani kam tha
aaja	24	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Gauribee aaja aaja ab kaisaa sharmaana, dheere dheere se dil ko churana
aam	24	HINGLISH	The token 'aam' is predominantly used as the Hindi word for 'common' (as in 'aam aadmi') or 'mango', which is distinctly Romanized Hindi/Hinglish in these contexts.	trump must be so envious of kejriwal .. Sochta hoga aisa kya karta Hai ye aam aadmi ki mujhse jyada trend ho raha hai
achche	24	HINGLISH	The token 'achche' is a Romanized Hindi word meaning 'good' used consistently across all examples.	mishrashiv Mishra ji ise haathi bol kar haathi jaise achche jeevo ko gaaliya na de nikhil__13 Ra_Bies
bachpan	24	HINGLISH	The word 'bachpan' is a Hindi word meaning childhood, written in the Roman script.	bachpan ka flash back kara dete ho :(
gaadi	24	HINGLISH	The word 'gaadi' is a Hindi term meaning vehicle or car, commonly used in Romanized Hindi/Hinglish code-mixed text.	"Daaru pee ke gaadi mat chalana new year pe.."
hoon	24	HINGLISH	The token 'hoon' translates to the Hindi auxiliary verb 'am' (हूं) as used in all the provided Romanized Hindi/English code-mixed examples.	jhunjhunwala Main be-Car nahi hoon aise hi mat Thoko kuch bhi indiantweeter
jayegi	24	HINGLISH	The token 'jayegi' is a Romanized Hindi verb form meaning 'will go'.	bhai aap bhul gye kya hume social science kisne padhai h , unhone dekha to pitaayi ho jayegi .:(
kehte	24	HINGLISH	The token 'kehte' is a Romanized Hindi verb meaning 'say' or 'called', commonly used in code-mixed Hinglish text.	isko kehte hein sachha pyar . . . kohli ke 1 run ko dekhne ke liye , anushka india se sydney aayee thi . . . :)
krne	24	HINGLISH	The token 'krne' is a Romanized Hindi word meaning 'to do'.	yaar tum ladke inne senti krne wale kaam kyu krte ho ? ? ? :'(
raho	24	HINGLISH	The word 'raho' is a Hindi imperative verb (stay/remain) written in Romanized form, used consistently across all examples.	Babaji balliawalebaba ko janamdin ki subhkamanayee.. Khush raho.. Aabaad raho.. Dilli raho ya Farukkhabad raho
sarkaar	24	HINGLISH	The token 'sarkaar' means government in Hindi and is widely used in Romanized Hindi/Hinglish text.	.OfficeOfRG Denims ki sarkaar ?? LOL
sonia	24	ENGLISH	The token refers to proper nouns (people's names like Sonia Gandhi) used in both English and Romanized Hindi contexts without a shift in linguistic identity.	ye sonia ji ki bahu hai autumnrainwish
whereisrahul	24	ENGLISH	The token is a hashtag composed of standard English words ('where', 'is', 'rahul') mashed together.	Saara seher mujhe PAPPU k naam se janta hai . whereisrahul rahulonleave twistedbollywoddialogues
apko	23	HINGLISH	The token 'apko' is a Romanized Hindi variant of 'aapko' (to you), used in code-mixed Hinglish context across all examples.	Usne bola aapne maan liya . Kapil sharma ne proof diya aapko aur chaiye .. Army ne surgicalstrike ki apko saboot chaiye . U need break
app	23	PENDING_MANUAL_REVIEW	In the first example it refers to a mobile 'app' (English), while in the second and third examples it is a spelling of the Hindi/Hinglish word 'aap' (you).	Uber chahiye? 2 minute main a jayegi. Haan chahiye Khud bula lo app khol ke lol
because	23	ENGLISH	The word 'because' is a standard English conjunction used for causal explanation in all provided code-mixed sentences.	great ak sir .. aap zindabad ..we have to first ensure on evm machines because these people are filthy
chali	23	HINGLISH	The token 'chali' is a form of the Hindi verb 'chalna' (to go/move), used across the examples in Romanized Hindi contexts.	hitennarendra aajkal hum khud hi ghum rehte hai.. Ladki chhod ke chali gayee. Dil hi toot k reh gaya hai
dekhte	23	HINGLISH	llm_call_failed_default:rate-limit: HTTP 429 rate-limit (no Retry-After header in response)	Miss u msd " aadat ho gayi hai aapko captain dekhte hue .. Dhoni
denge	23	HINGLISH	The word 'denge' is a conjugation of the Hindi verb 'dena' (to give/let) meaning 'will give' or 'will let', used in Romanized Hindi code-mixed sentences.	Koi bhi colony mein ghusna ho toh saale puchte hai kahan jaoge? Tell them a random number, B-25 ya G-305, ye jaane denge andar
deti	23	HINGLISH	The token 'deti' is a form of the Hindi verb 'dena' (to give), used here in various Hinglish contexts meaning 'causes', 'lets', or 'gives'.	Sabke saamne naak toh katwa hi deti hai biwiya …
farzipatrakarravishkumar	23	HINGLISH	no_context_default	
