token	label	method
"tum	NON_LINGUISTIC	regex_prefilter
&lt	NON_LINGUISTIC	regex_prefilter
'bhai	NON_LINGUISTIC	regex_prefilter
*khushi	NON_LINGUISTIC	regex_prefilter
........	NON_LINGUISTIC	regex_prefilter
.i'm	NON_LINGUISTIC	regex_prefilter
150	NON_LINGUISTIC	regex_prefilter
2012	NON_LINGUISTIC	regex_prefilter
2013	NON_LINGUISTIC	regex_prefilter
2019	NON_LINGUISTIC	regex_prefilter
24	NON_LINGUISTIC	regex_prefilter
3.	NON_LINGUISTIC	regex_prefilter
4pm	NON_LINGUISTIC	regex_prefilter
50%	NON_LINGUISTIC	regex_prefilter
60	NON_LINGUISTIC	regex_prefilter
64	NON_LINGUISTIC	regex_prefilter
7th	NON_LINGUISTIC	regex_prefilter
90%	NON_LINGUISTIC	regex_prefilter
:-o	NON_LINGUISTIC	regex_prefilter
=d	NON_LINGUISTIC	regex_prefilter
????	NON_LINGUISTIC	regex_prefilter
_agathist	NON_LINGUISTIC	regex_prefilter
aajkal?	NON_LINGUISTIC	regex_prefilter
aansoo*	NON_LINGUISTIC	regex_prefilter
aap.	NON_LINGUISTIC	regex_prefilter
aapas	UNCERTAIN_NEEDS_LLM	unresolved
aapghumakeleylo	UNCERTAIN_NEEDS_LLM	unresolved
aapsweep	UNCERTAIN_NEEDS_LLM	unresolved
abt	UNCERTAIN_NEEDS_LLM	unresolved
abuse	ENGLISH	wordnet_exact
acc	ENGLISH	wordnet_exact
active	ENGLISH	wordnet_exact
adhikar	UNCERTAIN_NEEDS_LLM	unresolved
aditya	ENGLISH	wordnet_exact
advice	ENGLISH	wordnet_exact
ae	UNCERTAIN_NEEDS_LLM	unresolved
agaya	UNCERTAIN_NEEDS_LLM	unresolved
aisay	UNCERTAIN_NEEDS_LLM	unresolved
aka	UNCERTAIN_NEEDS_LLM	unresolved
aksharpathak	UNCERTAIN_NEEDS_LLM	unresolved
akshay	UNCERTAIN_NEEDS_LLM	unresolved
alawa	UNCERTAIN_NEEDS_LLM	unresolved
album	ENGLISH	wordnet_exact
along	ENGLISH	wordnet_exact
american	ENGLISH	wordnet_exact
ana	ENGLISH	wordnet_exact
angel	ENGLISH	wordnet_exact
anubhashukla7	NON_LINGUISTIC	regex_prefilter
anything	UNCERTAIN_NEEDS_LLM	unresolved
apple	ENGLISH	wordnet_exact
arnab	UNCERTAIN_NEEDS_LLM	unresolved
arrest	ENGLISH	wordnet_exact
asar	UNCERTAIN_NEEDS_LLM	unresolved
ash	ENGLISH	wordnet_exact
ashleel	UNCERTAIN_NEEDS_LLM	unresolved
august	ENGLISH	wordnet_exact
awaz	UNCERTAIN_NEEDS_LLM	unresolved
baadshah	UNCERTAIN_NEEDS_LLM	unresolved
baant	UNCERTAIN_NEEDS_LLM	unresolved
baat,	NON_LINGUISTIC	regex_prefilter
babaji	UNCERTAIN_NEEDS_LLM	unresolved
bachon	UNCERTAIN_NEEDS_LLM	unresolved
badalte	UNCERTAIN_NEEDS_LLM	unresolved
badminton	ENGLISH	wordnet_exact
badnam	UNCERTAIN_NEEDS_LLM	unresolved
bahan	UNCERTAIN_NEEDS_LLM	unresolved
bail	ENGLISH	wordnet_exact
baja	UNCERTAIN_NEEDS_LLM	unresolved
bajane	UNCERTAIN_NEEDS_LLM	unresolved
bajarangi	UNCERTAIN_NEEDS_LLM	unresolved
bakwas	UNCERTAIN_NEEDS_LLM	unresolved
bakwasradio	UNCERTAIN_NEEDS_LLM	unresolved
bal	HINGLISH	override_hinglish
bangla	ENGLISH	wordnet_exact
bani	ENGLISH	wordnet_exact
batane	UNCERTAIN_NEEDS_LLM	unresolved
batata	UNCERTAIN_NEEDS_LLM	unresolved
batein	UNCERTAIN_NEEDS_LLM	unresolved
battery	ENGLISH	wordnet_exact
bell	ENGLISH	wordnet_exact
ben	ENGLISH	wordnet_exact
bengali	ENGLISH	wordnet_exact
bhaang	UNCERTAIN_NEEDS_LLM	unresolved
bhaijaan.	NON_LINGUISTIC	regex_prefilter
bhaisaab	UNCERTAIN_NEEDS_LLM	unresolved
bhara	UNCERTAIN_NEEDS_LLM	unresolved
bhartiya	UNCERTAIN_NEEDS_LLM	unresolved
bhashan	UNCERTAIN_NEEDS_LLM	unresolved
bhatt	UNCERTAIN_NEEDS_LLM	unresolved
bhi..	NON_LINGUISTIC	regex_prefilter
bihar_ke_lala	NON_LINGUISTIC	regex_prefilter
bipasha	UNCERTAIN_NEEDS_LLM	unresolved
bird	ENGLISH	wordnet_exact
blockbustermsg	UNCERTAIN_NEEDS_LLM	unresolved
blog	ENGLISH	wordnet_exact
blue	ENGLISH	wordnet_exact
bo	UNCERTAIN_NEEDS_LLM	unresolved
bola,	NON_LINGUISTIC	regex_prefilter
boli	UNCERTAIN_NEEDS_LLM	unresolved
bowler	ENGLISH	wordnet_exact
bowlers	ENGLISH	wordnet_exact
brothers	ENGLISH	wordnet_exact
brushurteeth_03	NON_LINGUISTIC	regex_prefilter
btw	UNCERTAIN_NEEDS_LLM	unresolved
business	ENGLISH	wordnet_exact
ca	ENGLISH	wordnet_exact
called	ENGLISH	wordnet_exact
camera	ENGLISH	wordnet_exact
campus	ENGLISH	wordnet_exact
cancel	ENGLISH	wordnet_exact
cases	ENGLISH	wordnet_exact
cbi	UNCERTAIN_NEEDS_LLM	unresolved
century	ENGLISH	wordnet_exact
ceo	ENGLISH	wordnet_exact
chaap	UNCERTAIN_NEEDS_LLM	unresolved
chadha	UNCERTAIN_NEEDS_LLM	unresolved
chalana	UNCERTAIN_NEEDS_LLM	unresolved
champions	ENGLISH	wordnet_exact
championship	ENGLISH	wordnet_exact
channels	ENGLISH	wordnet_exact
charge	ENGLISH	wordnet_exact
chat	ENGLISH	wordnet_exact
cheating	ENGLISH	wordnet_exact
chehre	UNCERTAIN_NEEDS_LLM	unresolved
chhoda	UNCERTAIN_NEEDS_LLM	unresolved
chhu	UNCERTAIN_NEEDS_LLM	unresolved
chickenbiryanii	UNCERTAIN_NEEDS_LLM	unresolved
chipke	UNCERTAIN_NEEDS_LLM	unresolved
chips	ENGLISH	wordnet_exact
christmas	ENGLISH	wordnet_exact
chupa	UNCERTAIN_NEEDS_LLM	unresolved
claim	ENGLISH	wordnet_exact
cold	ENGLISH	wordnet_exact
collection	ENGLISH	wordnet_exact
comics	ENGLISH	wordnet_exact
cong	UNCERTAIN_NEEDS_LLM	unresolved
count	ENGLISH	wordnet_exact
coz	UNCERTAIN_NEEDS_LLM	unresolved
crazy	ENGLISH	wordnet_exact
daane	UNCERTAIN_NEEDS_LLM	unresolved
dab	ENGLISH	wordnet_exact
dabba	UNCERTAIN_NEEDS_LLM	unresolved
dad:	NON_LINGUISTIC	regex_prefilter
dal	ENGLISH	wordnet_exact
dalit	UNCERTAIN_NEEDS_LLM	unresolved
damn	ENGLISH	wordnet_exact
dat	ENGLISH	wordnet_exact
deewana	UNCERTAIN_NEEDS_LLM	unresolved
degi	UNCERTAIN_NEEDS_LLM	unresolved
dekhkar	UNCERTAIN_NEEDS_LLM	unresolved
dekhke	UNCERTAIN_NEEDS_LLM	unresolved
dekhti	UNCERTAIN_NEEDS_LLM	unresolved
demonitization	UNCERTAIN_NEEDS_LLM	unresolved
denge.	NON_LINGUISTIC	regex_prefilter
des	ENGLISH	wordnet_exact
dhanyawaad	UNCERTAIN_NEEDS_LLM	unresolved
dharna	UNCERTAIN_NEEDS_LLM	unresolved
dhona	UNCERTAIN_NEEDS_LLM	unresolved
dhoti	ENGLISH	wordnet_exact
dialogue	ENGLISH	wordnet_exact
dikhaya	UNCERTAIN_NEEDS_LLM	unresolved
dikhe	UNCERTAIN_NEEDS_LLM	unresolved
direct	ENGLISH	wordnet_exact
disha	UNCERTAIN_NEEDS_LLM	unresolved
divyaszaika	UNCERTAIN_NEEDS_LLM	unresolved
diya!	NON_LINGUISTIC	regex_prefilter
dj	ENGLISH	wordnet_exact
dnt	UNCERTAIN_NEEDS_LLM	unresolved
do"	NON_LINGUISTIC	regex_prefilter
donald	UNCERTAIN_NEEDS_LLM	unresolved
dot	ENGLISH	wordnet_exact
dreams	ENGLISH	wordnet_exact
drink	ENGLISH	wordnet_exact
drkumarvishwas	UNCERTAIN_NEEDS_LLM	unresolved
drop	ENGLISH	wordnet_exact
dunia	UNCERTAIN_NEEDS_LLM	unresolved
dushman	UNCERTAIN_NEEDS_LLM	unresolved
dusra	UNCERTAIN_NEEDS_LLM	unresolved
dusri	UNCERTAIN_NEEDS_LLM	unresolved
each	ENGLISH	wordnet_exact
eat	ENGLISH	wordnet_exact
effect	ENGLISH	wordnet_exact
ellis	ENGLISH	wordnet_exact
emotions	ENGLISH	wordnet_exact
engineer	ENGLISH	wordnet_exact
engineers	ENGLISH	wordnet_exact
enlightenedme_	NON_LINGUISTIC	regex_prefilter
enough	ENGLISH	wordnet_exact
especially	ENGLISH	wordnet_exact
evm	UNCERTAIN_NEEDS_LLM	unresolved
eyes	ENGLISH	wordnet_exact
fact	ENGLISH	wordnet_exact
facts	ENGLISH	wordnet_exact
faila	UNCERTAIN_NEEDS_LLM	unresolved
father	ENGLISH	wordnet_exact
favourite	ENGLISH	wordnet_exact
few	ENGLISH	wordnet_exact
ff	UNCERTAIN_NEEDS_LLM	unresolved
field	ENGLISH	wordnet_exact
fielding	ENGLISH	wordnet_exact
fight	ENGLISH	wordnet_exact
finish	ENGLISH	wordnet_exact
fire	ENGLISH	wordnet_exact
firstpost	UNCERTAIN_NEEDS_LLM	unresolved
floor	ENGLISH	wordnet_exact
footpath	ENGLISH	wordnet_exact
forgot	ENGLISH	wordnet_exact
french	ENGLISH	wordnet_exact
fri	ENGLISH	wordnet_exact
fursat	UNCERTAIN_NEEDS_LLM	unresolved
gae	UNCERTAIN_NEEDS_LLM	unresolved
galati	UNCERTAIN_NEEDS_LLM	unresolved
gana	UNCERTAIN_NEEDS_LLM	unresolved
gang	ENGLISH	wordnet_exact
gaya?	NON_LINGUISTIC	regex_prefilter
gazab	UNCERTAIN_NEEDS_LLM	unresolved
ghus	UNCERTAIN_NEEDS_LLM	unresolved
gira	UNCERTAIN_NEEDS_LLM	unresolved
given	ENGLISH	wordnet_exact
giving	ENGLISH	wordnet_exact
goa	ENGLISH	wordnet_exact
goal	ENGLISH	wordnet_exact
goes	ENGLISH	wordnet_exact
golden	ENGLISH	wordnet_exact
grace	ENGLISH	wordnet_exact
grammys	UNCERTAIN_NEEDS_LLM	unresolved
greek	ENGLISH	wordnet_exact
green	ENGLISH	wordnet_exact
grow	ENGLISH	wordnet_exact
haaye,	NON_LINGUISTIC	regex_prefilter
hahaa	UNCERTAIN_NEEDS_LLM	unresolved
hahahaa	UNCERTAIN_NEEDS_LLM	unresolved
hai?"	NON_LINGUISTIC	regex_prefilter
hal	UNCERTAIN_NEEDS_LLM	unresolved
halka	UNCERTAIN_NEEDS_LLM	unresolved
happened	ENGLISH	wordnet_exact
har,	NON_LINGUISTIC	regex_prefilter
hare	ENGLISH	wordnet_exact
hari	UNCERTAIN_NEEDS_LLM	unresolved
harry	ENGLISH	wordnet_exact
haseen	UNCERTAIN_NEEDS_LLM	unresolved
hawaii	ENGLISH	wordnet_exact
hd	UNCERTAIN_NEEDS_LLM	unresolved
heart	ENGLISH	wordnet_exact
hehehe	UNCERTAIN_NEEDS_LLM	unresolved
heisenjit	UNCERTAIN_NEEDS_LLM	unresolved
hindiplz	UNCERTAIN_NEEDS_LLM	unresolved
hissa	UNCERTAIN_NEEDS_LLM	unresolved
hitkpkd	UNCERTAIN_NEEDS_LLM	unresolved
hog	ENGLISH	wordnet_exact
hoke	UNCERTAIN_NEEDS_LLM	unresolved
hoon.	NON_LINGUISTIC	regex_prefilter
hosh	UNCERTAIN_NEEDS_LLM	unresolved
hotel	ENGLISH	wordnet_exact
hotey	UNCERTAIN_NEEDS_LLM	unresolved
hoti.	NON_LINGUISTIC	regex_prefilter
hour	ENGLISH	wordnet_exact
hua,	NON_LINGUISTIC	regex_prefilter
hua.	NON_LINGUISTIC	regex_prefilter
huaa	UNCERTAIN_NEEDS_LLM	unresolved
hug	ENGLISH	wordnet_exact
humasqureshi	UNCERTAIN_NEEDS_LLM	unresolved
hurdangi	UNCERTAIN_NEEDS_LLM	unresolved
huwi	UNCERTAIN_NEEDS_LLM	unresolved
iitian	UNCERTAIN_NEEDS_LLM	unresolved
ilaaj	UNCERTAIN_NEEDS_LLM	unresolved
imaan	UNCERTAIN_NEEDS_LLM	unresolved
imagine	ENGLISH	wordnet_exact
india's	NON_LINGUISTIC	regex_prefilter
inter	ENGLISH	wordnet_exact
invite	ENGLISH	wordnet_exact
ireland	ENGLISH	wordnet_exact
irshaad	UNCERTAIN_NEEDS_LLM	unresolved
ishant	UNCERTAIN_NEEDS_LLM	unresolved
isn't	NON_LINGUISTIC	regex_prefilter
ispe	UNCERTAIN_NEEDS_LLM	unresolved
istemaal	UNCERTAIN_NEEDS_LLM	unresolved
jaa,	NON_LINGUISTIC	regex_prefilter
jaao	UNCERTAIN_NEEDS_LLM	unresolved
jaaye.	NON_LINGUISTIC	regex_prefilter
jae	UNCERTAIN_NEEDS_LLM	unresolved
jagat___janani	NON_LINGUISTIC	regex_prefilter
jalan	UNCERTAIN_NEEDS_LLM	unresolved
jam	ENGLISH	wordnet_exact
jaroor	UNCERTAIN_NEEDS_LLM	unresolved
jaruri	UNCERTAIN_NEEDS_LLM	unresolved
jata.	NON_LINGUISTIC	regex_prefilter
je	UNCERTAIN_NEEDS_LLM	unresolved
jersey	ENGLISH	wordnet_exact
jhand	UNCERTAIN_NEEDS_LLM	unresolved
jhooth	UNCERTAIN_NEEDS_LLM	unresolved
jihadi	ENGLISH	wordnet_exact
jinke	UNCERTAIN_NEEDS_LLM	unresolved
jiska	UNCERTAIN_NEEDS_LLM	unresolved
jiski	UNCERTAIN_NEEDS_LLM	unresolved
jitenge	UNCERTAIN_NEEDS_LLM	unresolved
jod	UNCERTAIN_NEEDS_LLM	unresolved
john	ENGLISH	wordnet_exact
july	ENGLISH	wordnet_exact
kaal	UNCERTAIN_NEEDS_LLM	unresolved
kaha..	NON_LINGUISTIC	regex_prefilter
kamar	UNCERTAIN_NEEDS_LLM	unresolved
kameenichhori	UNCERTAIN_NEEDS_LLM	unresolved
kaminapun	UNCERTAIN_NEEDS_LLM	unresolved
kare..	NON_LINGUISTIC	regex_prefilter
kareena	UNCERTAIN_NEEDS_LLM	unresolved
kari	UNCERTAIN_NEEDS_LLM	unresolved
karu?	NON_LINGUISTIC	regex_prefilter
karva	UNCERTAIN_NEEDS_LLM	unresolved
katie	UNCERTAIN_NEEDS_LLM	unresolved
kejru	UNCERTAIN_NEEDS_LLM	unresolved
khaali	UNCERTAIN_NEEDS_LLM	unresolved
khaila	UNCERTAIN_NEEDS_LLM	unresolved
kho	UNCERTAIN_NEEDS_LLM	unresolved
killed	ENGLISH	wordnet_exact
kiski	UNCERTAIN_NEEDS_LLM	unresolved
kiss	ENGLISH	wordnet_exact
kissa	UNCERTAIN_NEEDS_LLM	unresolved
ko,	NON_LINGUISTIC	regex_prefilter
konsi	UNCERTAIN_NEEDS_LLM	unresolved
koun	UNCERTAIN_NEEDS_LLM	unresolved
kv	ENGLISH	wordnet_exact
kya..	NON_LINGUISTIC	regex_prefilter
laa	UNCERTAIN_NEEDS_LLM	unresolved
laagu	UNCERTAIN_NEEDS_LLM	unresolved
laane	UNCERTAIN_NEEDS_LLM	unresolved
lab	ENGLISH	wordnet_exact
lack_a_daisy	NON_LINGUISTIC	regex_prefilter
ladies	ENGLISH	wordnet_exact
ladoo	UNCERTAIN_NEEDS_LLM	unresolved
lagega	UNCERTAIN_NEEDS_LLM	unresolved
lagharvaghar	UNCERTAIN_NEEDS_LLM	unresolved
lahore	ENGLISH	wordnet_exact
lalhitmovies	UNCERTAIN_NEEDS_LLM	unresolved
lambi	UNCERTAIN_NEEDS_LLM	unresolved
launch	ENGLISH	wordnet_exact
law	ENGLISH	wordnet_exact
layee	UNCERTAIN_NEEDS_LLM	unresolved
lee	ENGLISH	wordnet_exact
leg	ENGLISH	wordnet_exact
lgta	UNCERTAIN_NEEDS_LLM	unresolved
lia	UNCERTAIN_NEEDS_LLM	unresolved
liberal	ENGLISH	wordnet_exact
liked	ENGLISH	wordnet_exact
likes	ENGLISH	wordnet_exact
likhna	UNCERTAIN_NEEDS_LLM	unresolved
lin	ENGLISH	wordnet_exact
loan	ENGLISH	wordnet_exact
loge	ENGLISH	wordnet_exact
lot	ENGLISH	wordnet_exact
loved	ENGLISH	wordnet_exact
ls	ENGLISH	wordnet_exact
lucknow	ENGLISH	wordnet_exact
luta	ENGLISH	wordnet_exact
lv	ENGLISH	wordnet_exact
maara	UNCERTAIN_NEEDS_LLM	unresolved
madad	UNCERTAIN_NEEDS_LLM	unresolved
manjultoons	UNCERTAIN_NEEDS_LLM	unresolved
mantri	UNCERTAIN_NEEDS_LLM	unresolved
mardis	UNCERTAIN_NEEDS_LLM	unresolved
mare	ENGLISH	wordnet_exact
marna	UNCERTAIN_NEEDS_LLM	unresolved
mauke	UNCERTAIN_NEEDS_LLM	unresolved
mausam	UNCERTAIN_NEEDS_LLM	unresolved
mehekmahtani	UNCERTAIN_NEEDS_LLM	unresolved
mein!	NON_LINGUISTIC	regex_prefilter
meme	ENGLISH	wordnet_exact
mid	ENGLISH	wordnet_exact
milenge	HINGLISH	override_hinglish
miley	UNCERTAIN_NEEDS_LLM	unresolved
milk	ENGLISH	wordnet_exact
mine	ENGLISH	wordnet_exact
mini	ENGLISH	wordnet_exact
mishrashiv	UNCERTAIN_NEEDS_LLM	unresolved
mission	ENGLISH	wordnet_exact
mla	UNCERTAIN_NEEDS_LLM	unresolved
mode	ENGLISH	wordnet_exact
mohabbat	UNCERTAIN_NEEDS_LLM	unresolved
mohmaaya	UNCERTAIN_NEEDS_LLM	unresolved
monitor	ENGLISH	wordnet_exact
monta	UNCERTAIN_NEEDS_LLM	unresolved
months	ENGLISH	wordnet_exact
moral	ENGLISH	wordnet_exact
mountaindewin	UNCERTAIN_NEEDS_LLM	unresolved
move	ENGLISH	wordnet_exact
mujhay	UNCERTAIN_NEEDS_LLM	unresolved
mulk	UNCERTAIN_NEEDS_LLM	unresolved
murga	UNCERTAIN_NEEDS_LLM	unresolved
mutton	ENGLISH	wordnet_exact
naare	UNCERTAIN_NEEDS_LLM	unresolved
nahin.	NON_LINGUISTIC	regex_prefilter
najar	UNCERTAIN_NEEDS_LLM	unresolved
nana	UNCERTAIN_NEEDS_LLM	unresolved
nanga	UNCERTAIN_NEEDS_LLM	unresolved
naseeb	UNCERTAIN_NEEDS_LLM	unresolved
nath	UNCERTAIN_NEEDS_LLM	unresolved
natural	ENGLISH	wordnet_exact
nay	ENGLISH	wordnet_exact
nba	UNCERTAIN_NEEDS_LLM	unresolved
ne.	NON_LINGUISTIC	regex_prefilter
net	ENGLISH	wordnet_exact
neta	UNCERTAIN_NEEDS_LLM	unresolved
nets	ENGLISH	wordnet_exact
nh	ENGLISH	wordnet_exact
nikalne	UNCERTAIN_NEEDS_LLM	unresolved
niklo	UNCERTAIN_NEEDS_LLM	unresolved
ninda	UNCERTAIN_NEEDS_LLM	unresolved
nirav	UNCERTAIN_NEEDS_LLM	unresolved
nitishkaagentpratyayaamrit	UNCERTAIN_NEEDS_LLM	unresolved
niyam	UNCERTAIN_NEEDS_LLM	unresolved
no.	NON_LINGUISTIC	regex_prefilter
noel	ENGLISH	wordnet_exact
non	ENGLISH	wordnet_exact
nuksaan	UNCERTAIN_NEEDS_LLM	unresolved
oct	ENGLISH	wordnet_exact
odisha	UNCERTAIN_NEEDS_LLM	unresolved
official	ENGLISH	wordnet_exact
oopar	UNCERTAIN_NEEDS_LLM	unresolved
opener	ENGLISH	wordnet_exact
option	ENGLISH	wordnet_exact
owaisi	UNCERTAIN_NEEDS_LLM	unresolved
own	ENGLISH	wordnet_exact
paane	UNCERTAIN_NEEDS_LLM	unresolved
padhna	UNCERTAIN_NEEDS_LLM	unresolved
pahuch	UNCERTAIN_NEEDS_LLM	unresolved
paji	UNCERTAIN_NEEDS_LLM	unresolved
paki	UNCERTAIN_NEEDS_LLM	unresolved
pakvsind	UNCERTAIN_NEEDS_LLM	unresolved
pankaj	UNCERTAIN_NEEDS_LLM	unresolved
pant	ENGLISH	wordnet_exact
paper	ENGLISH	wordnet_exact
pataakhe	UNCERTAIN_NEEDS_LLM	unresolved
pate	ENGLISH	wordnet_exact
pavilion	ENGLISH	wordnet_exact
pawan	UNCERTAIN_NEEDS_LLM	unresolved
pe,	NON_LINGUISTIC	regex_prefilter
peecha	UNCERTAIN_NEEDS_LLM	unresolved
pelte	UNCERTAIN_NEEDS_LLM	unresolved
phat	UNCERTAIN_NEEDS_LLM	unresolved
phatake	UNCERTAIN_NEEDS_LLM	unresolved
phatakey	UNCERTAIN_NEEDS_LLM	unresolved
phele	UNCERTAIN_NEEDS_LLM	unresolved
piousbhandara	UNCERTAIN_NEEDS_LLM	unresolved
piyenge	UNCERTAIN_NEEDS_LLM	unresolved
pizza	ENGLISH	wordnet_exact
pj_cracker	NON_LINGUISTIC	regex_prefilter
plzzzz	UNCERTAIN_NEEDS_LLM	unresolved
pnbscam	UNCERTAIN_NEEDS_LLM	unresolved
poland	ENGLISH	wordnet_exact
prachi_licious	NON_LINGUISTIC	regex_prefilter
practice	ENGLISH	wordnet_exact
prasad	UNCERTAIN_NEEDS_LLM	unresolved
prtxt	UNCERTAIN_NEEDS_LLM	unresolved
punch	ENGLISH	wordnet_exact
pune	UNCERTAIN_NEEDS_LLM	unresolved
put	ENGLISH	wordnet_exact
raaton	UNCERTAIN_NEEDS_LLM	unresolved
raga	UNCERTAIN_NEEDS_LLM	unresolved
rahein	UNCERTAIN_NEEDS_LLM	unresolved
rahey	UNCERTAIN_NEEDS_LLM	unresolved
rahi..	NON_LINGUISTIC	regex_prefilter
rahiye	UNCERTAIN_NEEDS_LLM	unresolved
rahte	UNCERTAIN_NEEDS_LLM	unresolved
rajasthan	UNCERTAIN_NEEDS_LLM	unresolved
rajdeep	UNCERTAIN_NEEDS_LLM	unresolved
rajnathsingh	UNCERTAIN_NEEDS_LLM	unresolved
rakhte	UNCERTAIN_NEEDS_LLM	unresolved
rakhti	UNCERTAIN_NEEDS_LLM	unresolved
rani	ENGLISH	wordnet_exact
ranveer	UNCERTAIN_NEEDS_LLM	unresolved
ravi	UNCERTAIN_NEEDS_LLM	unresolved
reality	ENGLISH	wordnet_exact
regajha	UNCERTAIN_NEEDS_LLM	unresolved
religion	ENGLISH	wordnet_exact
replace	ENGLISH	wordnet_exact
request	ENGLISH	wordnet_exact
research	ENGLISH	wordnet_exact
retributions	ENGLISH	wordnet_exact
review	ENGLISH	wordnet_exact
revolution	ENGLISH	wordnet_exact
ri	ENGLISH	wordnet_exact
roj	UNCERTAIN_NEEDS_LLM	unresolved
romantic	ENGLISH	wordnet_exact
roop	UNCERTAIN_NEEDS_LLM	unresolved
rose	ENGLISH	wordnet_exact
roshan	UNCERTAIN_NEEDS_LLM	unresolved
round	ENGLISH	wordnet_exact
runs	ENGLISH	wordnet_exact
rupaye	UNCERTAIN_NEEDS_LLM	unresolved
rushingquark	UNCERTAIN_NEEDS_LLM	unresolved
saalon	UNCERTAIN_NEEDS_LLM	unresolved
saath.	NON_LINGUISTIC	regex_prefilter
sabzi	UNCERTAIN_NEEDS_LLM	unresolved
sachai	UNCERTAIN_NEEDS_LLM	unresolved
sachha	UNCERTAIN_NEEDS_LLM	unresolved
sadak	UNCERTAIN_NEEDS_LLM	unresolved
safed	UNCERTAIN_NEEDS_LLM	unresolved
salam	UNCERTAIN_NEEDS_LLM	unresolved
samasya	UNCERTAIN_NEEDS_LLM	unresolved
samjhao	UNCERTAIN_NEEDS_LLM	unresolved
samjhe	UNCERTAIN_NEEDS_LLM	unresolved
sanam	UNCERTAIN_NEEDS_LLM	unresolved
sanjaynirupam	UNCERTAIN_NEEDS_LLM	unresolved
sanskrit	ENGLISH	wordnet_exact
santa	ENGLISH	wordnet_exact
sarfaraz	UNCERTAIN_NEEDS_LLM	unresolved
sasta	UNCERTAIN_NEEDS_LLM	unresolved
sawal	UNCERTAIN_NEEDS_LLM	unresolved
script	ENGLISH	wordnet_exact
se!	NON_LINGUISTIC	regex_prefilter
seems	ENGLISH	wordnet_exact
setting	ENGLISH	wordnet_exact
sey	UNCERTAIN_NEEDS_LLM	unresolved
shabd	UNCERTAIN_NEEDS_LLM	unresolved
shahid	UNCERTAIN_NEEDS_LLM	unresolved
shakkar	UNCERTAIN_NEEDS_LLM	unresolved
shami	UNCERTAIN_NEEDS_LLM	unresolved
shanti	UNCERTAIN_NEEDS_LLM	unresolved
sharif	UNCERTAIN_NEEDS_LLM	unresolved
shatru	UNCERTAIN_NEEDS_LLM	unresolved
shave	ENGLISH	wordnet_exact
shirishkunder	UNCERTAIN_NEEDS_LLM	unresolved
shivaya	UNCERTAIN_NEEDS_LLM	unresolved
shot	ENGLISH	wordnet_exact
shraddha	UNCERTAIN_NEEDS_LLM	unresolved
shubh	UNCERTAIN_NEEDS_LLM	unresolved
sign	ENGLISH	wordnet_exact
sikha	UNCERTAIN_NEEDS_LLM	unresolved
sikke	UNCERTAIN_NEEDS_LLM	unresolved
simple	ENGLISH	wordnet_exact
singing	ENGLISH	wordnet_exact
siwa	UNCERTAIN_NEEDS_LLM	unresolved
slogan	ENGLISH	wordnet_exact
smog	ENGLISH	wordnet_exact
socho	UNCERTAIN_NEEDS_LLM	unresolved
society	ENGLISH	wordnet_exact
solution	ENGLISH	wordnet_exact
someone's	NON_LINGUISTIC	regex_prefilter
soni	UNCERTAIN_NEEDS_LLM	unresolved
sonu_chaipoha	NON_LINGUISTIC	regex_prefilter
soo	UNCERTAIN_NEEDS_LLM	unresolved
speaking	ENGLISH	wordnet_exact
spirit	ENGLISH	wordnet_exact
srisri	UNCERTAIN_NEEDS_LLM	unresolved
ss	ENGLISH	wordnet_exact
started	ENGLISH	wordnet_exact
status:	NON_LINGUISTIC	regex_prefilter
stock	ENGLISH	wordnet_exact
store	ENGLISH	wordnet_exact
stupidosaur	UNCERTAIN_NEEDS_LLM	unresolved
sukh	UNCERTAIN_NEEDS_LLM	unresolved
sunao	UNCERTAIN_NEEDS_LLM	unresolved
sunil	UNCERTAIN_NEEDS_LLM	unresolved
supporter	ENGLISH	wordnet_exact
sureshprabhu	UNCERTAIN_NEEDS_LLM	unresolved
surgical	ENGLISH	wordnet_exact
suru	UNCERTAIN_NEEDS_LLM	unresolved
susu	UNCERTAIN_NEEDS_LLM	unresolved
swag	ENGLISH	wordnet_exact
taaki	UNCERTAIN_NEEDS_LLM	unresolved
table	ENGLISH	wordnet_exact
tak,	NON_LINGUISTIC	regex_prefilter
taki	UNCERTAIN_NEEDS_LLM	unresolved
takleef	UNCERTAIN_NEEDS_LLM	unresolved
target	ENGLISH	wordnet_exact
tata	UNCERTAIN_NEEDS_LLM	unresolved
te	ENGLISH	wordnet_exact
teeno	UNCERTAIN_NEEDS_LLM	unresolved
thappad	UNCERTAIN_NEEDS_LLM	unresolved
the?	NON_LINGUISTIC	regex_prefilter
theatre	ENGLISH	wordnet_exact
thee	UNCERTAIN_NEEDS_LLM	unresolved
throw	ENGLISH	wordnet_exact
timeline	ENGLISH	wordnet_exact
timing	ENGLISH	wordnet_exact
to.	NON_LINGUISTIC	regex_prefilter
toda	ENGLISH	wordnet_exact
told	ENGLISH	wordnet_exact
tomorrow's	NON_LINGUISTIC	regex_prefilter
training	ENGLISH	wordnet_exact
transfer	ENGLISH	wordnet_exact
trip	ENGLISH	wordnet_exact
trulymonica	UNCERTAIN_NEEDS_LLM	unresolved
trust	ENGLISH	wordnet_exact
tumhe?	NON_LINGUISTIC	regex_prefilter
